"market","dc","map_value","rank_value"
ERCOT,CNP,DC+ZIP,2
ERCOT,CNP,DC+ZIP+CZ,1
ERCOT,CPL,DC+ZIP,2
ERCOT,CPL,DC+ZIP+CZ,1
ERCOT,LPL,DC+ZIP,2
ERCOT,LPL,DC+ZIP+CZ,1
ERCOT,ONC,DC+ZIP,2
ERCOT,ONC,DC+ZIP+CZ,1
ERCOT,TNP,DC+ZIP,1
ERCOT,WTU,DC+ZIP,2
ERCOT,WTU,DC+ZIP+CZ,1
ERCOT,,ZIP,2
MISO,AMIL,DC+LP,1
MISO,AMIL,DC+RC,2
NEISO,BED,DC,2
NEISO,BHE,DC,1
NEISO,CAMB,DC,2
NEISO,CLP,DC,2
NEISO,CMP,DC,1
NEISO,COME,DC,2
NEISO,FITCH,DC,2
NEISO,GSE,DC,1
NEISO,MSEL,DC,2
NEISO,MWST,DC,2
NEISO,NANEL,DC,2
NEISO,NECO,DC,1
NEISO,NHEC,DC,1
NEISO,PSNH,DC,1
NEISO,UES,DC,1
NEISO,UI,DC,2
NYISO,CHGE,DC+CZ,1
NYISO,CONE,DC,1
NYISO,NIMO,DC+CZ,1
NYISO,NYOR,DC+CZ,1
NYISO,NYSEG,DC+CZ,1
NYISO,RGE,DC+CZ,1
PJM,AECO,DC,2
PJM,APMD,DC,2
PJM,APPA,DC,2
PJM,BGE,DC,2
PJM,CEI,DC,1
PJM,CGE,DC,1
PJM,COMED,DC,2
PJM,CSPC,DC,1
PJM,DPL,DC,1
PJM,DPLDE,DC,2
PJM,DPLMD,DC,2
PJM,DQE,DC,2
PJM,JCPL,DC,2
PJM,MET,DC,2
PJM,OE,DC,1
PJM,OPC,DC,1
PJM,PECO,DC,2
PJM,PENELEC,DC,2
PJM,PEPCODC,DC,2
PJM,PEPCOMD,DC,2
PJM,PP,DC,1
PJM,PPL,DC,2
PJM,PSEG,DC,2
PJM,RECO,DC,1
PJM,TE,DC,1
PJM,UGI,DC,1
