"market","state","weatherzone"
NEISO,CT,
NEISO,MA,ZNE MA
NEISO,MA,ZSE MA
NEISO,MA,ZWC MA
NEISO,RI,ZRI
NYISO,NY,A
NYISO,NY,B
NYISO,NY,C
NYISO,NY,D
NYISO,NY,E
NYISO,NY,F
NYISO,NY,G
NYISO,NY,H
NYISO,NY,I
NYISO,NY,J
NYISO,NY,K
PJM,NJ,RECO
NYISO,NY,CONE
PJM,PA,PP
PJM,OH,CEI
PJM,OH,DPL
PJM,OH,CGE
PJM,OH,OE
PJM,OH,TE
NYISO,NY,CONED IDX
NEISO,ME,BHE
NEISO,ME,CMP
NEISO,RI,NECO
NEISO,NH,PSNH
ERCOT,TX,COAST
ERCOT,TX,EAST
ERCOT,TX,FWEST
ERCOT,TX,HOBBY
ERCOT,TX,NCENT
ERCOT,TX,NORTH
ERCOT,TX,SCENT
ERCOT,TX,SOUTH
ERCOT,TX,WEST
PJM,PA,PENELEC
PJM,NJ,PSEG
PJM,PA,DQE
PJM,NJ,JCPL
PJM,NJ,AECO
PJM,MD,BGE
PJM,PA,PECO
PJM,IL,COMED
PJM,PA,PPL
PJM,MD,APMD
PJM,MD,PEPCOMD
PJM,DC,PEPCODC
PJM,MD,DPLMD
PJM,DE,DPLDE
PJM,PA,APPA
PJM,PA,PECO INDEX
PJM,PA,MET
PJM,PA,DQE INDEX
PJM,OH,AEPOH
MISO,IL,CIPS1
MISO,IL,CILCO2
MISO,IL,IP3
MISO,IL,UE1
CAISO,CA,PGE
CAISO,CA,SDGE
CAISO,CA,SCE
MISO,MI,DTE
MISO,MI,CONS
NEISO,MA,CAMB
NEISO,MA,FITCH
NEISO,MA,NANEL
NEISO,CT,CLP
NEISO,CT,UI
NEISO,MA,COME
NEISO,MA,MSEL
NEISO,MA,BED
NEISO,MA,MWST
AESO,AB,EDM
AESO,AB,CALG
IESO,ON,ONT
AGL,GA,AGL-GAS
PGE,CA,PGE-GAS
SOCAL,CA,SOCAL-GAS
SDGE,CA,SDGE-GAS
MICHCON,MI,MICHCO-GAS
NIPSCO,IL,NIPSCO-GAS
COL-KY-GAS,KY,COL-KY-GAS
COL-VA-GAS,VA,COL-VA-GAS
NEISO,ME,ME
NEISO,NH,NH
PJM,VA,DOM
